drug_id,Percentage,Sideview
CID100000450,0.064,Vaginal mycosis
CID100000450,0.03,Breast pain female
CID100000450,0.0,Breast pain
CID100000450,0.0,Bradyphrenia
CID100000450,0.0,Vaginal infection
CID100000450,0.0446429,Uterine pain
CID100000450,0.011236,Cough
CID100000450,0.0,Hot flush
CID100000450,0.02,Hot flush
CID100000450,0.0652174,Ear and labyrinth disorders
CID100000450,0.0,Insomnia
CID100000450,0.0804598,Insomnia
CID100000450,0.0194175,Vulvovaginal pruritus
CID100000450,0.0,Abdominal bloating
CID100000450,0.0,Flatulence
CID100000450,0.011236,Breast neoplasm
CID100000450,0.0172414,Breast neoplasm
CID100000450,0.0337079,Breast neoplasm
CID100000450,0.0689655,Breast neoplasm
CID100000450,0.0689655,Breast neoplasm
CID100000450,0.0291262,Vulvovaginal mycotic infection
CID100000450,0.01,Breast enlargement
CID100000450,0.01,Abnormal withdrawal bleeding
CID100000450,0.05,Vaginal haemorrhage
CID100000450,0.0,Vaginal haemorrhage
CID100000450,0.0,Vaginal haemorrhage
CID100000450,0.0,Vaginal haemorrhage
CID100000453,0.00478011,Dizziness
CID100000453,0.0124283,Chest pain
CID100000453,0.0428571,Chest pain
CID100000453,0.0,Pharyngolaryngeal pain
CID100000453,0.0,Laryngeal pain
CID100000453,0.0239006,Laryngeal pain
CID100000581,0.001,Anaphylactic shock
CID100000581,0.002,Anaphylactic shock
CID100000581,0.0422535,Rash
CID100000581,0.061,Flushing
CID100000581,0.00917431,Pruritus
CID100000581,0.0140845,Throat tightness
CID100000596,0.142857,Abdominal pain
CID100000596,0.0856031,Abdominal pain
CID100000596,0.120623,Anaemia
CID100000596,0.13,Anaemia
CID100000596,0.178571,Anorexia
CID100000596,0.0544747,Anorexia
CID100000596,0.030303,Anxiety
CID100000596,0.19,Arachnoiditis
CID100000596,0.42,Arachnoiditis
CID100000596,0.11284,Arthralgia
CID100000596,0.142857,Arthralgia
CID100000596,0.0909091,Arthralgia
CID100000596,0.393939,Asthenia
CID100000596,0.05,Asthenia
CID100000596,0.09,Asthenia
CID100000596,0.09,Asthenia
CID100000596,0.0,Back pain
CID100000596,0.07,Back pain
CID100000596,0.151515,Neck pain
CID100000596,0.0769231,Neck pain
